[0.00 - 2.00]  There we go. Okay.
[1668.26 - 1673.18]  So that's why I think it's important to have all this because the intellectual stuff,
[1673.18 - 1678.22]  like knowing about the major third, all of that allows your imagination to frame it out
[1678.22 - 1679.22]  better.
[1679.22 - 1681.62]  So, so your dreams are better and all that.
[1681.62 - 1686.26]  So, so this is, so this is a big part, how the guitar works.
[1686.26 - 1689.42]  You know, that's, that's lesson number one.
[1689.42 - 1691.02]  That's actually lesson number one.
[1691.02 - 1693.10]  How the guitar works.
[1693.10 - 1695.54]  In, in, in basically I'm mapping out.
[1695.54 - 1696.54]  Yeah.
[1696.54 - 1699.94]  I do have all kinds of, I maybe we should go upstairs because I get my big.
[1699.94 - 1700.94]  That's the next slide.
[1700.94 - 1701.94]  But anyway, yeah.
[1701.94 - 1702.94]  Yeah.
[1702.94 - 1703.94]  Yeah.
[1703.94 - 1704.94]  Yeah.
[1704.94 - 1705.94]  Yeah.
[1705.94 - 1706.94]  Yeah.
[1706.94 - 1707.94]  Yeah.
[1707.94 - 1708.94]  Yeah.
[1708.94 - 1709.94]  That's all your stuff.
[1709.94 - 1712.30]  So very cool.
[1712.30 - 1717.06]  And then so as, as you remember, we said we had the workbook and the workbook had those
[1717.06 - 1718.86]  quests.
[1718.86 - 1720.18]  And then we have this.
[1720.18 - 1722.90]  So there's 12 quests and there's 12 frets.
[1722.90 - 1731.30]  There's 12 chapters of the story and there's 12 chromatic scales that you learn through
[1731.30 - 1732.30]  this.
[1732.30 - 1737.66]  And that's what the Fagre's taught that turned into the vertice scale stuff.
[1737.66 - 1740.90]  And chromatic is the term chromatic scales.
[1740.90 - 1741.90]  Right.
[1741.90 - 1746.74]  I'm just learning more as I'm developing because a lot of this stuff is new to me.
[1746.74 - 1749.22]  I thought that was very interesting.
[1749.22 - 1750.22]  Yeah.
[1750.22 - 1756.22]  There's 12 half steps in Western Germany.
[1756.22 - 1761.02]  I mean, yeah.
[1761.02 - 1763.14]  And then there's practice zones after.
[1763.14 - 1767.74]  So we're on page 15 and 16.
[1767.74 - 1768.74]  So it is set up.
[1768.74 - 1777.58]  The whole course is set up as an active e-module with stuff where here's the next one.
[1777.58 - 1781.70]  That's so cool caged.
[1781.70 - 1784.66]  It's interactive so you can play in front of the guitar.
[1784.66 - 1792.54]  The website is set up with audio so that when you have, let me go back at well, it's done
[1792.54 - 1801.54]  on a phone so that when you have your AI, you use your widget.
[1801.54 - 1804.54]  You just tap the AI mode into audio.
[1804.54 - 1806.46]  They'll have it off right now.
[1806.46 - 1808.34]  There's a little microphone right there.
[1808.34 - 1813.50]  You turn it on and you put it in conversation mode and it's hands free.
[1813.50 - 1815.58]  So you can do all the AI stuff.
[1815.58 - 1825.54]  It can listen to you and critique you and help out and stuff while you're playing because
[1825.54 - 1830.18]  you have it on the phone and you're playing if you want to set it up that way.
[1830.18 - 1837.58]  But the AI would only reference your curriculum and it would help people go through.
[1837.58 - 1841.18]  So you said the students can play in front of their computer?
[1841.18 - 1843.62]  Can play in front of their phone or computer.
[1843.62 - 1844.62]  Right.
[1844.62 - 1850.50]  It's not coaching them because it's not trained like you are but it can point back to your
[1850.50 - 1852.98]  own curriculum and workbook.
[1852.98 - 1853.98]  Like reference.
[1853.98 - 1854.98]  Yes.
[1854.98 - 1859.86]  So it's supposed to help because it's a lot of information.
[1859.86 - 1865.38]  It's supposed to help the user be more comfortable with exploring it because they can break it
[1865.38 - 1869.22]  up and they can come back to it.
[1869.22 - 1870.34]  That kind of stuff.
[1870.34 - 1877.58]  Since the course is so long, there's like 16 slides in each.
[1877.58 - 1878.58]  Yeah.
[1878.58 - 1880.94]  16 slides in each of the 12 frets.
[1880.94 - 1884.26]  So 12 times 16 is a lot.
[1884.26 - 1888.94]  That's how many slides there are.
[1888.94 - 1890.66]  So oh, hang on.
[1890.66 - 1891.66]  Let me go back to that.
[1891.66 - 1893.86]  There's a little guitar down here.
[1893.86 - 1895.38]  I'm putting that in there.
[1895.38 - 1896.38]  There it is.
[1896.38 - 1897.42]  The Troubadour's Quill.
[1897.42 - 1902.66]  And so that's what I had the AI set up with too is to help with songwriting based on the
[1902.66 - 1904.70]  journaling experience.
[1904.70 - 1909.06]  So while you're going through the course and learning about it and while you're practicing
[1909.06 - 1914.10]  and playing, there are breaks where you are supposed to video record yourself.
[1914.10 - 1915.98]  So you can watch it like in football.
[1915.98 - 1917.90]  Watch yourself play.
[1917.90 - 1918.90]  Relax.
[1918.90 - 1920.78]  Enjoy yourself playing if you want to do that.
[1920.78 - 1927.66]  The Troubadour's Quill is like a app for helping writing songs based on that own student's
[1927.66 - 1928.66]  journey.
[1928.66 - 1930.46]  So you can write in stuff.
[1930.46 - 1935.58]  You can have it look up your journey and your comments if you typed anything out.
[1935.58 - 1939.78]  But I have it set up to like automatically capture like this is transcribing.
[1939.78 - 1944.26]  I have it set up to automatically capture journal data, transcribe it.
[1944.26 - 1950.22]  And then I have the videos all saved on that individuals Google's shared right.
[1950.22 - 1956.62]  So you don't have to have like a giant super fancy computer in your home to run everything.
[1956.62 - 1959.30]  A server, an AI server.
[1959.30 - 1961.70]  Like I can run it from my house on my computer.
[1961.70 - 1967.10]  You don't have to pay cloud services to have an AI run your website.
[1967.10 - 1968.10]  Amazing.
[1968.10 - 1969.10]  Yeah.
[1969.10 - 1972.34]  So that's pretty cool.
[1972.34 - 1973.34]  Wow.
[1973.34 - 1977.18]  It's a lot of info though, right?
[1978.18 - 1981.98]  That's why I was like, we should just look over stuff.
[1981.98 - 1985.14]  I'm not clear.
[1985.14 - 1988.54]  You know, maybe you should.
[1988.54 - 1989.54]  You see it.
[1989.54 - 1990.54]  Learn with the.
[1990.54 - 1991.54]  Okay.
[1991.54 - 1992.54]  Okay.
[1992.54 - 1993.54]  Maybe you should just show you.
[1993.54 - 1998.94]  So my question is like how much people are going to be in full of the website.
[1998.94 - 2001.46]  I would love them to like really do a lot of playing.
[2001.46 - 2002.46]  Yeah.
[2002.46 - 2011.74]  I could even set it up to where all those slides.
[2011.74 - 2018.46]  I could set it up to where to change for the next slide, you have to play a chord or something.
[2018.46 - 2019.46]  So it's practice.
[2019.46 - 2024.30]  Like playing a chord allows the course to go to the next slide.
[2024.30 - 2026.30]  Oh, that's really nice.
[2026.30 - 2027.70]  You've said that to me.
[2027.70 - 2028.70]  Yeah.
[2028.70 - 2029.70]  I've never seen that before.
[2029.70 - 2031.74]  I remember seeing those shapes and colors.
[2031.74 - 2032.74]  Yeah.
[2032.74 - 2036.94]  For example, look, this is dust and we know dust in the wind.
[2036.94 - 2040.18]  So it's super easy.
[2040.18 - 2042.62]  Red, yellow, red.
[2042.62 - 2044.82]  We actually follow the colors of the rainbow.
[2044.82 - 2046.18]  It's red orange yellow, right?
[2046.18 - 2047.58]  It's the order of the rainbow.
[2047.58 - 2051.14]  So red or the square always the root.
[2051.14 - 2052.14]  So red.
[2052.14 - 2053.14]  Yeah.
[2053.14 - 2054.14]  Orange yellow.
[2054.14 - 2055.14]  Back to red.
[2055.14 - 2057.18]  Red orange yellow.
[2057.18 - 2058.18]  Red.
[2059.18 - 2063.58]  So the first note finishes the sentence.
[2063.58 - 2066.02]  It's four notes.
[2066.02 - 2068.26]  Red always starts and finishes.
[2068.26 - 2072.02]  So you go here.
[2072.02 - 2076.82]  Red orange yellow red.
[2076.82 - 2078.82]  You go three.
[2078.82 - 2081.74]  Red orange yellow red.
[2081.74 - 2087.42]  Red orange yellow red.
[2087.42 - 2090.86]  Red.
[2090.86 - 2092.74]  So I love this app.
[2092.74 - 2094.22]  This is a guitar sentence.
[2094.22 - 2095.58]  This Italian guy.
[2095.58 - 2098.58]  I have like 700 graphs.
[2098.58 - 2103.06]  I mean, it's like, and people from all over the world, I really appreciate my graph.
[2103.06 - 2105.02]  Do you have a graph database?
[2105.02 - 2106.86]  I have a graph database in it.
[2106.86 - 2111.46]  I mean, I got like some sort of graphs.
[2112.46 - 2114.18]  You know, I have all cage.
[2114.18 - 2119.46]  I mean, you know, it's a profile.
[2119.46 - 2124.06]  You know, it's like, I'm like, and it's semi organized.
[2124.06 - 2127.50]  You know, this is like, well, I have 293 now.
[2127.50 - 2130.18]  I pay her down because I had a lot of repeats.
[2130.18 - 2134.46]  So there's cage and sea, there's king, there's different games here.
[2134.46 - 2139.30]  So anyway, and all those games, you know, I start with 135.
[2139.30 - 2140.94]  So I explain the game.
[2140.94 - 2141.94]  I explain the game.
[2141.94 - 2148.86]  You know, so we don't really need a guitar playing app because I want them to do the sound.
[2148.86 - 2149.86]  Right.
[2149.86 - 2150.86]  Yes.
[2150.86 - 2151.86]  I want them to do the sound and hear the sound.
[2151.86 - 2152.86]  Right.
[2152.86 - 2153.86]  Right.
[2153.86 - 2155.26]  Ultimately, you know, that's it.
[2155.26 - 2162.98]  You know, so your training app that I had made was one where, let me see, because I had
[2162.98 - 2164.90]  a few of them.
[2164.90 - 2167.90]  But yeah, I didn't mean to interrupt.
[2167.94 - 2169.74]  I think this is great.
[2169.74 - 2171.82]  And you're right that they should be playing.
[2171.82 - 2183.58]  I want them to do maximum playing, but you know, so harmony theory, how could I build?
[2183.58 - 2184.58]  Here we go.
[2184.58 - 2185.58]  Here's the pitch room.
[2185.58 - 2187.10]  This is on the website.
[2187.10 - 2193.42]  So you're supposed to guess which one it was.
[2193.42 - 2196.70]  That's for training here.
[2196.70 - 2200.14]  I'm not sure which one that is.
[2200.14 - 2201.30]  Yeah.
[2201.30 - 2204.66]  So, it's not major.
[2204.66 - 2208.34]  So this is for training your year.
[2208.34 - 2213.78]  But again, I think that this is way more useful and training your ear by playing the
[2213.78 - 2214.78]  guitar.
[2214.78 - 2216.54]  But it's like, I have a game.
[2216.54 - 2218.42]  It's just like shapes.
[2218.42 - 2226.30]  So anyway, you know, that the game looks really cool.
[2226.30 - 2231.98]  I mean, because this could be easily animated.
[2231.98 - 2232.98]  Yes.
[2232.98 - 2235.82]  And it's also called in it, right?
[2235.82 - 2236.82]  Right.
[2236.82 - 2238.82]  I have all the tools to animate that too.
[2238.82 - 2241.02]  Like I know how to build what you're saying.
[2241.02 - 2246.18]  I know how to take these cards and how to build them out exactly like what you're saying.
[2246.18 - 2250.42]  So all I need is like all of the data.
[2250.42 - 2254.26]  Like if they're in PDF format and there's like a thousand of them.
[2254.26 - 2256.26]  So for example, okay.
[2257.26 - 2262.98]  So, first I'm going to do the board or this.
[2262.98 - 2268.38]  So this is my tree here.
[2268.38 - 2269.38]  First I'm out.
[2269.38 - 2271.58]  This is the tree.
[2271.58 - 2273.34]  First I'm out those.
[2273.34 - 2275.34]  And that's this one.
[2275.34 - 2280.34]  There's a match here.
[2280.34 - 2290.02]  So I have the students and I guide them and actually play me.
[2290.02 - 2292.66]  We start from, we start making music right away.
[2292.66 - 2297.22]  Because I say, we're going to map out the five first strings, five first frets.
[2297.22 - 2298.22]  That's a nice start.
[2298.22 - 2299.70]  We're going to map that out.
[2299.70 - 2301.22]  So it's a little bit tedious.
[2301.22 - 2303.50]  But you need to know the layout of the land.
[2303.50 - 2304.50]  Yeah.
[2304.50 - 2306.98]  This is just one approach, but I have other approach.
[2306.98 - 2307.98]  Right.
[2307.98 - 2309.66]  Some people say, okay, what do you know?
[2309.66 - 2310.66]  Oh, you know that chord?
[2310.66 - 2311.66]  Okay.
[2311.66 - 2314.42]  We're going to work on that and meet them where they are.
[2314.42 - 2315.42]  You know this?
[2315.42 - 2316.42]  Okay.
[2316.42 - 2317.42]  You know what this is?
[2317.42 - 2319.42]  That's usually the first chord people learn.
[2319.42 - 2320.42]  Yeah.
[2320.42 - 2321.42]  Is that A?
[2321.42 - 2322.42]  That's an E-cous.
[2322.42 - 2329.98]  It's like, so a triad is, you know, you have three notes and here it's like five, one,
[2329.98 - 2332.02]  three, it's basically.
[2332.02 - 2336.02]  One, two, three, four, five, six, seven, one, two, three.
[2336.50 - 2339.70]  So you have three notes of the major scale that we select.
[2339.70 - 2344.90]  We take the one, skip the two, stack on the three, skip the four, stack on the five and
[2344.90 - 2345.90]  you get this.
[2345.90 - 2353.70]  Except this is N-B-C, five, one.
[2353.70 - 2354.70]  Cliches.
[2354.70 - 2355.70]  Cliches.
[2355.70 - 2356.70]  Five, one, four, two.
[2356.70 - 2357.70]  I have to figure out that one.
[2357.70 - 2364.70]  I have to figure out that one.
[2364.70 - 2366.70]  Right there.
[2366.70 - 2372.46]  So if you know this, so I meet them because usually this is the first chord people know.
[2372.46 - 2373.46]  Okay.
[2373.46 - 2374.46]  Wow.
[2374.46 - 2375.46]  So you play that.
[2375.46 - 2376.46]  You know that.
[2376.46 - 2377.46]  So this is five.
[2377.46 - 2378.46]  What?
[2378.46 - 2379.46]  Six is over there.
[2379.46 - 2381.66]  It's your only two friends.
[2381.66 - 2383.46]  Four is two friends down.
[2383.46 - 2384.46]  Five, six, five.
[2384.46 - 2385.46]  Oh, it's a four.
[2385.46 - 2392.46]  You already make music.
[2392.46 - 2394.06]  Do you have any of this on video?
[2394.06 - 2396.46]  If you know one, if you know the one, no.
[2396.46 - 2397.46]  You don't.
[2397.46 - 2400.46]  If you know where one is, you know where two is.
[2400.46 - 2401.46]  Okay.
[2401.46 - 2402.46]  And one is seven.
[2402.46 - 2409.34]  So the one, three, five are the supporting beams of Western harmony.
[2409.34 - 2412.26]  It's like when you want to use a computer, you got to know how to type.
[2412.26 - 2413.26]  Don't scale.
[2413.26 - 2415.42]  Learn the supporting beams.
[2415.42 - 2416.42]  Learn the Western harmony.
[2416.42 - 2417.42]  It's one, three, five.
[2417.42 - 2419.42]  And most people know one, three, five because they do in chords.
[2419.42 - 2421.34]  In chords I've built with nothing.
[2421.34 - 2423.42]  So I'm meeting them where they are.
[2423.42 - 2424.42]  Got you.
[2424.42 - 2425.42]  At midnight.
[2425.42 - 2429.90]  And then I'm going that tree from the seed that they are.
[2429.90 - 2434.30]  Increase complexity at the student's pace.
[2434.30 - 2438.46]  At the student's, and the student is the starting point, is the seed.
[2438.46 - 2439.46]  Right.
[2439.46 - 2440.46]  Right.
[2440.46 - 2441.46]  Right.
[2441.46 - 2445.26]  So once you're in three, four, three, one, one.
[2445.26 - 2455.58]  One, one, three, four, three, four, three, four, three, one.
[2455.58 - 2459.78]  And so that's how you make music.
[2459.78 - 2460.78]  That's right.
[2460.78 - 2461.78]  Numbers.
[2461.78 - 2462.78]  Numbers.
[2462.78 - 2464.50]  And then one, three, four.
[2464.50 - 2466.14]  So I saw them.
[2466.14 - 2468.62]  So I give them a string of numbers.
[2468.62 - 2470.50]  So, so anyway.
[2470.50 - 2473.14]  So I'm mapping out those five first frets.
[2473.14 - 2478.02]  This is usually the go to, you know, we mapping out, you know.
[2478.02 - 2481.78]  And from that, you go to C scale after you have the amount of...
[2481.78 - 2482.78]  So we have...
[2482.78 - 2486.62]  And I have, you know, so we play this...
[2486.62 - 2496.30]  So I say, okay, three, three, four, C, two, four, D, two, four, E. And I'm the third finger
[2496.30 - 2498.78]  for F, open G.
[2498.78 - 2502.94]  So we start making music because I'm playing chords and we're grooving.
[2502.94 - 2508.94]  And they're like, oh, they're stumbling, but I, yeah, three, four, three, four, three,
[2508.94 - 2513.94]  four, three, four, three, four, three, four, three, four, three, four, three, four, three,
[2513.94 - 2518.18]  and they play a whole bunch of notes during the first half hour.
[2518.18 - 2523.22]  They're like, yeah, you play a lot of notes, I play a lot of chords, we recorded it.
[2523.22 - 2527.98]  And then you do, you know, so you understand the string to string relationship.
[2527.98 - 2533.54]  You play first C scale and it's like, you know, string to string relationship.
[2533.54 - 2538.54]  But you know another way to do A because we're going through this.
[2538.54 - 2542.62]  Okay, if E is one, what is A?
[2542.62 - 2546.70]  Count numbers, count letters.
[2546.70 - 2547.70]  Which way are we going backwards?
[2547.70 - 2550.14]  If E is one, count the alphabet.
[2550.14 - 2551.14]  Okay.
[2551.14 - 2552.62]  If E is one, what is A?
[2552.62 - 2553.62]  Five.
[2553.62 - 2554.62]  Wait.
[2554.62 - 2555.62]  You can use fingers.
[2555.62 - 2556.62]  You can use fingers.
[2557.62 - 2561.38]  If E is one, E is one, what is A?
[2561.38 - 2562.38]  Four.
[2562.38 - 2563.38]  That's four.
[2563.38 - 2564.38]  That's right.
[2564.38 - 2565.38]  So this time.
[2565.38 - 2566.38]  I went five counting E.
[2566.38 - 2567.38]  That's right.
[2567.38 - 2568.38]  So that's it.
[2568.38 - 2569.38]  So that's it.
[2569.38 - 2570.38]  So that's it.
[2570.38 - 2571.38]  So that's it.
[2571.38 - 2575.34]  So let's play one, four, four, four, from E. So right away, you know, there's no letters.
[2575.34 - 2578.34]  One, four, four, four.
[2578.34 - 2579.34]  What's the song?
[2579.34 - 2580.34]  Oh, yeah.
[2580.34 - 2581.34]  Marriage thingy.
[2581.34 - 2582.34]  What?
[2582.34 - 2585.14]  It sounds like a marriage song, but someone's walking down my aisle.
[2585.14 - 2586.54]  That's called your poems The Bride.
[2586.54 - 2587.54]  That's The Bride on March.
[2587.54 - 2588.54]  The Bride on March.
[2588.54 - 2589.54]  Or Christmas tree.
[2589.54 - 2590.54]  Oh, okay.
[2590.54 - 2591.54]  So the next set of strings.
[2591.54 - 2592.54]  A, B, C, D.
[2592.54 - 2594.54]  Oh, you know another way to do the E. Oh, yeah.
[2594.54 - 2602.98]  That's a match here.
[2602.98 - 2605.46]  So if A is one, what is D?
[2605.46 - 2606.46]  Okay.
[2606.46 - 2611.66]  If A is one, D is four, three.
[2611.66 - 2614.10]  Can you use the fingers?
[2614.18 - 2616.10]  A, B, C, D.
[2616.10 - 2617.10]  Three.
[2617.10 - 2619.10]  If A is one.
[2619.10 - 2622.10]  A, two, three, four, four.
[2622.10 - 2623.10]  Okay.
[2623.10 - 2626.10]  So can you play one, four, four, four, four from E?
[2626.10 - 2628.10]  Oh, yeah, sure.
[2628.10 - 2629.10]  Oh, yeah.
[2629.10 - 2631.10]  It comes to the bride again.
[2631.10 - 2632.10]  Oh, yeah.
[2632.10 - 2633.10]  Yeah.
[2633.10 - 2634.10]  So, I need to do this.
[2634.10 - 2639.62]  So you, you understand, because everybody or Christmas tree or Christmas bride or Christmas
[2639.62 - 2642.10]  bride, you know, or dressing green.
[2642.10 - 2645.10]  Because we use the cliche as well.
[2645.10 - 2648.10]  Use all the music that is inside your head.
[2648.10 - 2649.10]  Yes.
[2649.10 - 2651.10]  We got billions of songs.
[2651.10 - 2653.10]  We animate and reactivity.
[2653.10 - 2655.10]  That's the cover of your own personal memory.
[2655.10 - 2659.10]  So each string is a shape of a color.
[2659.10 - 2661.10]  And a number.
[2661.10 - 2662.10]  And so if you have...
[2662.10 - 2664.10]  No, no, no.
[2664.10 - 2665.10]  Okay.
[2665.10 - 2666.10]  No, no, no.
[2666.10 - 2667.10]  Each string is a shape.
[2667.10 - 2668.10]  No, that's a different context.
[2668.10 - 2671.10]  I'm looking at string to string relationship here.
[2671.10 - 2672.10]  This is...
[2672.10 - 2673.10]  This is...
[2673.10 - 2674.10]  This is...
[2674.10 - 2675.10]  This was inside of the chord.
[2675.10 - 2678.10]  This is the basic patterns of the math itself.
[2678.10 - 2679.10]  The basic pattern, you know.
[2679.10 - 2681.10]  And actually I have graphs for that.
[2681.10 - 2682.10]  For that.
[2682.10 - 2683.10]  Perfect.
[2683.10 - 2688.10]  So here's a D, F, G, O, but you know...
[2688.10 - 2691.10]  If D is one, what is G?
[2691.10 - 2694.10]  Can you use fingers?
[2694.10 - 2695.10]  D is one.
[2695.10 - 2696.10]  G.
[2696.10 - 2697.10]  D is one.
[2697.10 - 2698.10]  G.
[2698.10 - 2699.10]  D.
[2699.10 - 2700.10]  D.
[2700.10 - 2701.10]  D.
[2701.10 - 2702.10]  One, two, three, four.
[2702.10 - 2703.10]  Four.
[2703.10 - 2704.10]  So...
[2704.10 - 2705.10]  Yeah, you made the break come again.
[2705.10 - 2706.10]  Oh, sorry.
[2706.10 - 2707.10]  That didn't come out.
[2707.10 - 2708.10]  It happened.
[2708.10 - 2709.10]  That's right.
[2709.10 - 2711.10]  But now it's like...
[2711.10 - 2714.10]  If G is one, what is B?
[2714.10 - 2717.10]  That would be four.
[2717.10 - 2718.10]  No.
[2718.10 - 2720.10]  That's the glitch.
[2720.10 - 2723.10]  Is that because it went up and off?
[2723.10 - 2724.10]  Yeah.
[2724.10 - 2726.10]  That's the glitch.
[2726.10 - 2728.10]  Is that because it went up and off?
[2728.10 - 2729.10]  No.
[2729.10 - 2731.10]  Because you know, there's no H.
[2731.10 - 2734.10]  A, B, C, D, A, G, then we'll go back to A.
[2734.10 - 2735.10]  A.
[2735.10 - 2737.10]  So here we have G, A, B.
[2737.10 - 2739.10]  The next string is B.
[2739.10 - 2741.10]  So G, A, B, B is the third.
[2741.10 - 2743.10]  That's the glitch you wrote about.
[2743.10 - 2744.10]  That's it.
[2744.10 - 2746.10]  The G and the B string.
[2746.10 - 2751.10]  So now to make the bride come come again, you need to do the finger.
[2751.10 - 2754.10]  Right here, I'm going to do the D.
[2755.10 - 2757.10]  Right here, I do that.
[2757.10 - 2760.10]  I need to compensate for that whole.
[2760.10 - 2761.10]  Right.
[2761.10 - 2762.10]  String to string relationship.
[2762.10 - 2765.10]  Understand the structure of your goddamn guitar.
[2765.10 - 2768.10]  That's the thing that's in your fucking nuts.
[2768.10 - 2769.10]  I'm learning, guys.
[2769.10 - 2772.10]  If I'm giving you a gun, you better know how it works.
[2772.10 - 2773.10]  I do know how they work.
[2773.10 - 2774.10]  I know you.
[2774.10 - 2775.10]  I'm very good with those ones.
[2775.10 - 2776.10]  I know you know.
[2776.10 - 2778.10]  I saw, you said you got to bring the guitar.
[2778.10 - 2779.10]  You know, it's like...
[2779.10 - 2781.10]  And then B, C, D, E.
[2781.10 - 2786.10]  Okay, if B is one, what is E?
[2786.10 - 2788.10]  Use your fingers.
[2788.10 - 2790.10]  If B is one.
[2790.10 - 2791.10]  That's the second string.
[2791.10 - 2793.10]  I'll be...
[2793.10 - 2794.10]  I...
[2794.10 - 2796.10]  C, D, E, F.
[2796.10 - 2800.10]  E, I, B, C, D, E.
[2800.10 - 2801.10]  We're before.
[2801.10 - 2802.10]  Okay.
[2802.10 - 2803.10]  Oh, yeah.
[2803.10 - 2804.10]  Right.
[2804.10 - 2806.10]  We need to borrow the bride come again.
[2806.10 - 2811.10]  So, there's this group of four strings that enjoy a perfect four.
[2811.10 - 2812.10]  Right.
[2812.10 - 2816.10]  Here, there's a third between those two strings and then there's another fourth.
[2816.10 - 2819.10]  So those two strings are like in the...
[2819.10 - 2822.10]  They're like in the pahoe.
[2822.10 - 2823.10]  So those...
[2823.10 - 2827.10]  And this explains why that E, that shape and that shape and that shape,
[2827.10 - 2829.10]  that shape should be this.
[2829.10 - 2831.10]  But since those two strings, you know.
[2831.10 - 2832.10]  So anyway...
[2832.10 - 2834.10]  Can you go back one second?
[2834.10 - 2836.10]  So there's these four.
[2836.10 - 2837.10]  This is four.
[2837.10 - 2838.10]  Two.
[2838.10 - 2839.10]  Four one string.
[2839.10 - 2840.10]  Right.
[2840.10 - 2841.10]  Here, there's a four.
[2841.10 - 2842.10]  It's a fourth.
[2842.10 - 2844.10]  Here, it's a fourth.
[2844.10 - 2845.10]  Here, it's a fourth.
[2845.10 - 2847.10]  Here, it's a fourth.
[2847.10 - 2849.10]  Here, it's a third.
[2849.10 - 2851.10]  So why does it do that?
[2851.10 - 2852.10]  You said because that's the way.
[2852.10 - 2855.10]  Because it's a goddamn Spaniard, got drunk and invented the guitar.
[2855.10 - 2860.10]  And you had everything two and a fourth and then it's just like dropped the guitar and brought it to the king and it came to...
[2860.10 - 2861.10]  Yeah, okay.
[2861.10 - 2862.10]  We'll take that.
[2862.10 - 2864.10]  And two more strings would do it different.
[2864.10 - 2865.10]  No, no, no.
[2865.10 - 2870.10]  You understand that when you start playing Spanish classical guitar.
[2870.10 - 2871.10]  It's the invented.
[2871.10 - 2875.10]  Which is the most famous educational classical guitar.
[2875.10 - 2876.10]  It's the Spanish.
[2876.10 - 2880.10]  If you learn classical guitar anywhere around the world, it's Spanish classical guitar.
[2880.10 - 2883.10]  Sounds pretty good.
[2883.10 - 2893.10]  Spanish classical is fantastic.
[2893.10 - 2895.10]  So once you learn that, learn that.
[2895.10 - 2905.10]  Because yeah, I have a copy of the very, very first guitar book ever created by Fernando Sore in like 18-5 or something.
[2906.10 - 2911.10]  And so it's basically, this moves further.
[2911.10 - 2914.10]  It means a facilitated melodic movement.
[2914.10 - 2919.10]  Usually when you are in the band, the bass player plays less note than the singer.
[2919.10 - 2920.10]  Right? Right.
[2920.10 - 2921.10]  That's why.
[2921.10 - 2928.10]  Because the singer, when you're on top, you want to have quicker access to the higher note.
[2928.10 - 2932.10]  That's why the note, the strings, close it together.
[2933.10 - 2934.10]  Right.
[2934.10 - 2935.10]  That's why it draws me nuts.
[2935.10 - 2939.10]  I know why no my teacher could answer me.
[2939.10 - 2940.10]  So I'm like, you know what?
[2940.10 - 2941.10]  You're fucking boring.
[2941.10 - 2942.10]  Great.
[2942.10 - 2945.10]  I'm sending money.
[2945.10 - 2947.10]  And I'm going to answer my question.
[2947.10 - 2949.10]  I'm so glad I did.
[2949.10 - 2953.10]  So the classical guitar strings are set up.
[2953.10 - 2955.10]  That's the classical standard.
[2955.10 - 2956.10]  It's tuning.
[2956.10 - 2958.10]  Because you can't change the tuning.
[2958.10 - 2959.10]  People do.
[2959.10 - 2960.10]  Oh yeah.
[2960.10 - 2961.10]  You can't change your play style.
[2961.10 - 2963.10]  But as long as you know your guitar.
[2963.10 - 2967.10]  No, actually the classical did change the tuning.
[2967.10 - 2973.10]  So once you map out the C scale, you start to listen.
[2973.10 - 2975.10]  One, two, three, four, oh.
[2975.10 - 2977.10]  Three and four.
[2977.10 - 2980.10]  Only a half a fret apart.
[2980.10 - 2985.10]  And seven, eight, only a fret apart.
[2985.10 - 2993.10]  And every note is tuned a whole step apart, meaning two piano keys, like these.
[2993.10 - 2994.10]  That's why I always have a piano.
[2994.10 - 2997.10]  We should have a piano keyboard here to show memorization.
[2997.10 - 3003.10]  Because on the piano, the theoretical system is literally black and white.
[3003.10 - 3005.10]  The pianist is the only way.
[3005.10 - 3006.10]  This is abstract.
[3006.10 - 3007.10]  This is the right sense of confusion.
[3007.10 - 3011.10]  There's no markers except it's little dot what the fuck did it mean?
[3012.10 - 3014.10]  And you're not even allowed to look at it while you play.
[3014.10 - 3017.10]  Because you've got to be like, what do you do?
[3017.10 - 3019.10]  It's very, very, very difficult.
[3019.10 - 3021.10]  It's not a beginner tool.
[3021.10 - 3023.10]  Well, unless you really hooked.
[3023.10 - 3027.10]  I mean, I took this kid because he was like, did you ask your parents like 30, 30, 30?
[3027.10 - 3028.10]  Yeah.
[3028.10 - 3029.10]  Okay.
[3029.10 - 3030.10]  I'll take you in.
[3030.10 - 3031.10]  Otherwise, piano.
[3031.10 - 3035.10]  Like later, you don't have to struggle with the ergonomics, but in mechanics.
[3035.10 - 3037.10]  It's really hard.
[3037.10 - 3039.10]  It's very, very difficult.
[3040.10 - 3042.10]  So we map out the C scale.
[3042.10 - 3044.10]  We understand the swing to swing relationship.
[3044.10 - 3045.10]  We start making music.
[3045.10 - 3056.10]  So one, one, one, two, three, four, four, three, two, one, one, two, three, two, one, two.
[3056.10 - 3057.10]  That's a super easy song.
[3057.10 - 3060.10]  Can you give me one, three, four, five?
[3060.10 - 3061.10]  Yeah.
[3063.10 - 3065.10]  And then they give it in the swing numbers.
[3065.10 - 3066.10]  And we jam.
[3066.10 - 3068.10]  And this is like the first half hour, first hour.
[3068.10 - 3070.10]  We actually play a version that we jam.
[3070.10 - 3072.10]  I give them numbers, music by numbers.
[3072.10 - 3077.10]  See the difference between music by numbers and drawing by numbers, like in the funnies
[3077.10 - 3081.10]  and Sunday, is that music by numbers actually teaches you music.
