[0.00 - 4.50]  Okay, just one two.
[1686.56 - 1689.64]  This is, you know, when I went to Berkeley College of Music, I was a little bit disappointed
[1689.64 - 1692.76]  because it was all about the doing of music.
[1692.76 - 1696.48]  There was nothing about being the music and it's all about being the music.
[1696.48 - 1697.48]  Yeah.
[1697.48 - 1699.28]  Be the music you want to hear in the world, you know.
[1699.28 - 1700.28]  Right.
[1700.28 - 1701.28]  Right.
[1701.28 - 1702.28]  That song that's missing in your collection.
[1702.28 - 1703.28]  Yes.
[1703.28 - 1704.80]  That's with the inner connection.
[1704.80 - 1706.64]  And how do you fasten that, right?
[1706.64 - 1707.64]  Right.
[1707.64 - 1709.32]  How do you connect with the song?
[1709.32 - 1710.32]  You know?
[1710.32 - 1711.32]  Yeah.
[1711.32 - 1712.32]  Well, yeah, exactly.
[1712.32 - 1713.32]  Exactly.
[1713.32 - 1714.32]  Meaning making.
[1714.32 - 1716.52]  Meaning is kind of like, beyond this.
[1716.52 - 1719.40]  I mean, the best song ever wrote, fell on me.
[1719.40 - 1724.12]  It's one of those stories that I have no theory, you know, but it just won't fell the words
[1724.12 - 1729.76]  music and it just, I was like, very emotional experience.
[1729.76 - 1731.12]  Very humbling.
[1731.12 - 1732.12]  And I just recorded the song.
[1732.12 - 1733.48]  I had no idea what it meant.
[1733.48 - 1737.92]  It took me like three or four years to realize it was about death and dying and evaporation.
[1737.92 - 1738.92]  Yeah.
[1738.92 - 1742.72]  It was just like this meditation about my childhood and butterflies.
[1742.72 - 1745.76]  I hit you on the top level before it trickled down to the mind.
[1745.76 - 1746.76]  Yeah.
[1746.76 - 1747.76]  Yeah.
[1747.76 - 1751.00]  You had to process it for years before it could be fully be conceptualized.
[1751.00 - 1756.12]  It came from two people at the level that I did not see the meaning.
[1756.12 - 1759.80]  I knew there was a poetry and it sounded cool, but then it's awesome.
[1759.80 - 1760.80]  Wow.
[1760.80 - 1763.20]  It's about the environments of it all.
[1763.20 - 1764.20]  Yeah.
[1764.20 - 1771.60]  You know, I think we can, I'm getting a thought that maybe we should take a break here.
[1771.60 - 1778.08]  I do have all day available tomorrow and I can use this to work out the first few scenes
[1778.08 - 1781.84]  of our conversation.
[1781.84 - 1788.72]  I can send you the recording and some notes and then we can break into because of the time
[1788.72 - 1794.48]  we can break into some technical stuff before I have to take the boys back home and get
[1794.48 - 1795.48]  them to the naps.
[1795.48 - 1796.48]  Great.
[1796.48 - 1797.48]  Great.
[1797.48 - 1798.48]  That works for you.
[1798.48 - 1799.48]  Yeah.
[1799.48 - 1800.48]  Yeah.
[1800.48 - 1801.48]  Perfect.
[1801.48 - 1802.48]  So we will talk about the rest of this.
[1802.48 - 1803.48]  That's perfect.
[1803.48 - 1804.48]  Definitely.
[1804.48 - 1807.76]  I should have to do that without having the whole time you were talking, I was thinking
[1807.76 - 1815.60]  about the ego and distractions and how we can divide and focus our attention or not
[1815.60 - 1821.16]  allow our attention to be divided and be in a compulsory state, which is why I kept
[1821.16 - 1824.88]  bringing up meditation because I care and love my children.
[1824.88 - 1825.88]  Of course.
[1825.88 - 1830.20]  And I did not set the boundaries and the expectations for their behavior.
[1830.20 - 1834.52]  And then when they start to get loud or need attention from me, I have to deal with that
[1834.52 - 1840.16]  as a distraction instead of being present and personal, you know, so we'll just change
[1840.16 - 1841.16]  up the system.
[1841.16 - 1842.16]  No, no, that's good.
[1842.16 - 1843.16]  It's all good.
[1843.16 - 1844.16]  It's all good.
[1844.16 - 1845.16]  You know what you did?
[1845.16 - 1846.16]  That was great.
[1846.16 - 1847.16]  I like to do this.
[1847.16 - 1848.16]  I do this like this.
[1848.16 - 1849.16]  That's part of Chigo.
[1849.16 - 1850.16]  Yeah.
[1850.16 - 1851.16]  Yeah.
[1851.16 - 1852.16]  Yeah.
[1852.16 - 1853.16]  You know.
[1853.16 - 1855.16]  And you're not going to do it.
[1855.16 - 1858.16]  They do that with some.
[1858.16 - 1860.16]  It's very good.
[1860.16 - 1861.16]  Chigo and master.
[1861.16 - 1862.16]  Yeah.
[1862.16 - 1864.16]  Hey, you want some yogurt, strawberry yogurt?
[1864.16 - 1865.16]  No.
[1865.16 - 1867.16]  Do you like mangoes?
[1867.16 - 1868.16]  Strawberry better.
[1868.16 - 1869.16]  I got mango yogurt.
[1869.16 - 1870.16]  Strawberry.
[1870.16 - 1871.16]  They're both delicious.
[1871.16 - 1872.16]  You like strawberries?
[1872.16 - 1873.16]  Okay.
[1873.16 - 1874.16]  I got blueberries.
[1874.16 - 1875.16]  Yeah.
[1875.16 - 1876.16]  I got blueberries.
[1876.16 - 1877.16]  You like blueberries?
[1877.16 - 1878.16]  Yeah.
[1878.16 - 1879.16]  Yeah.
[1879.16 - 1880.16]  I like blueberries.
[1880.16 - 1881.16]  All right.
[1881.16 - 1892.16]  So have you had a chance to look at the material of the website?
[1892.16 - 1893.16]  It's a lot of information.
[1893.16 - 1895.16]  That's why I've been trying to say it to you throughout the week.
[1895.16 - 1896.16]  No, I was on the road.
[1896.16 - 1897.16]  Okay.
[1897.16 - 1898.16]  No worries.
[1898.16 - 1899.16]  This.
[1899.16 - 1902.16]  So that was, but I kept thinking about it.
[1902.16 - 1905.16]  I made some, I just took a glass of it.
[1905.16 - 1908.16]  And it was like, I love the title, the bar thing.
[1908.16 - 1910.16]  And the presence in the bar is very cool.
[1910.16 - 1912.16]  The web, web even.
[1912.16 - 1915.16]  That's a really wonderful thing.
[1915.16 - 1916.16]  Yeah.
[1916.16 - 1917.16]  Yeah, I love it.
[1917.16 - 1918.16]  Oh, it's beautiful.
[1918.16 - 1920.16]  14 bucks for the domain.
[1920.16 - 1922.16]  Free website from a friend.
[1922.16 - 1924.16]  It's nice.
[1924.16 - 1925.16]  I'm floored.
[1925.16 - 1926.16]  Yeah.
[1926.16 - 1930.16]  You might want to check out the pedagogical content.
[1930.16 - 1935.16]  Like the first, like each section, if you go to the top, the curriculum.
[1935.16 - 1936.16]  Yeah.
[1936.16 - 1940.16]  The way I have it set up is pretty smooth and we'll work on phones.
[1940.16 - 1941.16]  You can just pull it up on your phone.
[1941.16 - 1942.16]  Yes, Teddy.
[1942.16 - 1944.16]  Why is it red?
[1944.16 - 1946.16]  That is clay, baked clay.
[1946.16 - 1948.16]  That's called a brick.
[1948.16 - 1949.16]  Well, I should pull.
[1949.16 - 1951.16]  Because it might be red because it's from Georgia.
[1951.16 - 1955.16]  They do, they make a lot of clay bricks down there and they have red dirt.
[1955.16 - 1957.16]  That's what they're famous for.
[1957.16 - 1958.16]  Don't throw it.
[1958.16 - 1960.16]  Go pick it up and put it back.
[1960.16 - 1963.16]  Go pick it up and put it back, please.
[1963.16 - 1969.16]  Remember rule number one, don't make a mess.
[1969.16 - 1971.16]  And rule number two is don't break it.
[1971.16 - 1972.16]  Yeah.
[1972.16 - 1974.16]  Yeah.
[1974.16 - 1975.16]  Where'd it go?
[1975.16 - 1976.16]  Nope.
[1976.16 - 1978.16]  That's not where it goes.
[1978.16 - 1980.16]  Where'd you get it from?
[1980.16 - 1982.16]  Yeah, go get it, put it in there then.
[1982.16 - 1986.16]  You can keep it if you want.
[1986.16 - 1988.16]  That's a nice one too.
[1988.16 - 1990.16]  I used to collect rocks.
[1990.16 - 1992.16]  Rocks are a lot of fun.
[1992.16 - 1994.16]  I like it.
[1994.16 - 1995.16]  There's a good question.
[1995.16 - 1998.16]  I think I met when it comes to the website stuff.
[1998.16 - 2000.16]  I think I met your philosophy well.
[2000.16 - 2003.16]  I may have gone too structured.
[2003.16 - 2004.16]  I don't know.
[2004.16 - 2006.16]  You'll have to look at it and let me know.
[2006.16 - 2011.16]  But I tried to follow the basic principles of like the Dow Day team.
[2011.16 - 2012.16]  Manage your attention.
[2012.16 - 2014.16]  Manage your focus.
[2014.16 - 2020.16]  And if you pull the website up, I have it set to where your
[2020.16 - 2024.16]  Holton Sky song is ambient sound.
[2024.16 - 2025.16]  Wow, great.
[2025.16 - 2031.16]  So if you click on it, you can play your music.
[2031.16 - 2033.16]  Oh, I have it.
[2033.16 - 2035.16]  Turn down.
[2035.16 - 2036.16]  Okay.
[2036.16 - 2040.16]  So your music starts playing and you click on the slides.
[2041.16 - 2042.16]  Oops.
[2042.16 - 2044.16]  Can you start on the first one?
[2044.16 - 2045.16]  Oh my God.
[2045.16 - 2046.16]  That's awesome.
[2046.16 - 2049.16]  So every single slide and there's a lot of slides.
[2049.16 - 2051.16]  Every single slide has its own art.
[2051.16 - 2052.16]  That's beautiful.
[2052.16 - 2053.16]  Making art.
[2053.16 - 2056.16]  Every single slide has its comment and you can just swipe.
[2056.16 - 2057.16]  That's gorgeous, man.
[2057.16 - 2058.16]  That's beautiful.
[2058.16 - 2061.16]  Where's the button?
[2061.16 - 2062.16]  Oh, well.
[2062.16 - 2063.16]  Yeah.
[2063.16 - 2068.16]  Actually, I made this on a guitar build by Kevin Carpenter.
[2068.16 - 2069.16]  That's beautiful.
[2069.16 - 2070.16]  That's beautiful.
[2070.16 - 2071.16]  I can't swipe.
[2071.16 - 2072.16]  There we go.
[2072.16 - 2075.16]  So each one, I have to update it.
[2075.16 - 2076.16]  Beautiful.
[2076.16 - 2078.16]  Each slide has a different setting.
[2078.16 - 2079.16]  Oh, it's not loading.
[2079.16 - 2080.16]  It's art.
[2080.16 - 2081.16]  Yeah.
[2081.16 - 2082.16]  It's very artistic.
[2082.16 - 2083.16]  Yeah, very artistic.
[2083.16 - 2084.16]  Wow.
[2084.16 - 2085.16]  That's kinesthetics.
[2085.16 - 2086.16]  It has like.
[2086.16 - 2087.16]  Oh, yeah.
[2087.16 - 2093.16]  So the story thing, that first, oops, wrong button.
[2093.16 - 2094.16]  There we go.
[2094.16 - 2096.16]  It's hard to see with the sun.
[2096.16 - 2102.16]  So the story is all like PowerPoint slides with an image and a meaning, meditation or
[2102.16 - 2104.24]  history or something like that.
[2104.24 - 2110.88]  And then the guitar is a app game that talks, that does everything you were talking about,
[2110.88 - 2113.60]  but it's lacking the color and the shapes.
[2113.60 - 2120.64]  So I need to add that in, but it is a game and it's a game that still has the 12 frets
[2120.64 - 2122.16]  and it goes over each.
[2122.16 - 2127.24]  So that's C that's, you know, it has each one of your 12 major notes and each one of
[2127.24 - 2129.52]  those has different games.
[2129.52 - 2135.16]  So you can click on each, whether you want to do the inner fretboard.
[2135.16 - 2137.60]  Anyways, there's a lot of lots.
[2137.60 - 2138.60]  Okay.
[2138.60 - 2141.16]  I mean, there's like weeks of data in here that you could go through.
[2141.16 - 2142.16]  Wow.
[2142.16 - 2146.60]  So, so I'm going to, and I have, you know, like those diagrams.
[2146.60 - 2147.60]  Yeah.
[2147.60 - 2149.60]  I have literally like 500 diagrams.
[2149.60 - 2151.40]  Oh, that'd be great.
[2151.40 - 2156.16]  But, you know, I can, I can just, I'm going to make a new worksheet.
[2156.16 - 2157.16]  Yeah.
[2157.16 - 2162.40]  I guess I'm going to see what I have and I'm going to make a new worksheet like today.
[2162.40 - 2163.40]  Yeah.
[2163.40 - 2164.40]  About this ear training, the visual.
[2164.40 - 2166.76]  And actually I can, I can read and grab the guitar.
[2166.76 - 2168.32]  That's not a problem.
[2168.32 - 2173.40]  And if you go through and take notes or I'm going to get the guitar.
[2173.40 - 2176.40]  Oh, he's getting his guitar.
[2176.40 - 2177.40]  What?
[2177.40 - 2178.40]  He's getting his guitar.
[2178.40 - 2179.40]  Why?
[2179.40 - 2180.40]  Why?
[2180.40 - 2183.40]  He wants me to say thank you.
[2183.40 - 2184.40]  Yeah.
[2184.40 - 2187.40]  Let me sit right here with me.
[2187.40 - 2188.40]  You can see that.
[2188.40 - 2190.40]  I'm putting a new seat right here.
[2190.40 - 2191.40]  This is for you.
[2191.40 - 2192.40]  This is for you.
[2192.40 - 2193.40]  You can sit right here.
[2193.40 - 2195.40]  You can sit right here.
[2195.40 - 2197.40]  You can sit right here.
[2197.40 - 2200.40]  So, so this, you have this one note.
[2200.40 - 2207.40]  So this is called two A scale because not figure number two starts on the A string.
[2207.40 - 2208.40]  Yeah.
[2208.40 - 2209.40]  Easy.
[2209.40 - 2210.40]  Coordinates.
[2210.40 - 2214.40]  I'm really all about clear coordinates.
[2214.40 - 2217.40]  The doctor, 84, is retired surgeon.
[2217.40 - 2219.40]  So he likes clear language.
[2219.40 - 2221.40]  Clear language for a second.
[2221.40 - 2225.40]  So this is two finger number two, one two on string number five.
[2225.40 - 2226.40]  Yeah.
[2226.40 - 2229.40]  And I'm in that fourth position because of the index position.
[2229.40 - 2231.40]  So you have the one.
[2231.40 - 2233.40]  So one, two.
[2233.40 - 2235.40]  That's the second.
[2235.40 - 2236.40]  One, three.
[2236.40 - 2237.40]  One, three.
[2237.40 - 2238.40]  One, four.
[2238.40 - 2239.40]  One, two, three.
[2239.40 - 2240.40]  Four, four, three.
[2240.40 - 2241.40]  One, four.
[2241.40 - 2242.40]  One, four.
[2242.40 - 2243.40]  One, four.
[2243.40 - 2244.40]  Okay.
[2244.40 - 2246.40]  One, two, three, four.
[2246.40 - 2247.40]  Five, four, three.
[2247.40 - 2248.40]  This one.
[2248.40 - 2249.40]  Remember the five.
[2249.40 - 2250.40]  Five.
[2250.40 - 2251.40]  I win.
[2251.40 - 2252.40]  Five, six.
[2252.40 - 2253.40]  Here's the scale.
[2253.40 - 2254.40]  One, two, three.
[2254.40 - 2255.40]  Six.
[2255.40 - 2258.40]  So it's a basically game and shape.
[2258.40 - 2261.40]  So it might as be a Pythagoras's monocord.
[2261.40 - 2262.40]  Monocord?
[2262.40 - 2263.40]  Monocord?
[2263.40 - 2264.40]  The Pythagoras's monocord.
[2264.40 - 2267.40]  He had an instrument that was one chord.
[2267.40 - 2268.40]  Oh wow.
[2268.40 - 2269.40]  Yeah.
[2269.40 - 2272.40]  It's in the PowerPoint thing, which is pretty cool.
[2272.40 - 2274.40]  It also shapes and...
[2274.40 - 2275.40]  One, five.
[2275.40 - 2276.40]  I can put...
[2276.40 - 2278.40]  I have a metronome on your website.
[2278.40 - 2279.40]  There's also...
[2279.40 - 2280.40]  It's how it's...
[2280.40 - 2282.40]  Eitron can be so much fun.
[2282.40 - 2283.40]  Oh yeah.
[2283.40 - 2285.40]  So for example, then you go to have...
[2285.40 - 2286.40]  Have...
[2286.40 - 2287.40]  Have...
[2287.40 - 2288.40]  Have...
[2289.40 - 2290.40]  What's that song?
[2290.40 - 2291.40]  I don't know.
[2291.40 - 2292.40]  I'm not very good with trivia.
[2292.40 - 2294.40]  So I'm asking you to dig because you've heard this.
[2294.40 - 2295.40]  You know?
[2295.40 - 2296.40]  You've played it low.
[2296.40 - 2297.40]  The shark thing?
[2297.40 - 2298.40]  Yeah.
[2298.40 - 2299.40]  That's just.
[2299.40 - 2300.40]  Yeah.
[2300.40 - 2301.40]  In here it's like...
[2301.40 - 2302.40]  That's baby shark.
[2302.40 - 2303.40]  It's trying to be scary.
[2303.40 - 2304.40]  But it's not scary at all.
[2304.40 - 2305.40]  It's the same.
[2305.40 - 2306.40]  It's the same interval.
[2306.40 - 2307.40]  Right?
[2307.40 - 2310.40]  So yeah, try to dig into all the collective precautions of cliched.
[2310.40 - 2311.40]  Yeah.
[2311.40 - 2312.40]  Yeah.
[2312.40 - 2313.40]  Yeah.
[2313.40 - 2314.40]  Yeah.
[2314.40 - 2315.40]  Right.
[2315.40 - 2316.40]  We need to rush that up.
[2316.40 - 2319.40]  This is why I see I ask people before they engage this conditioning.
[2319.40 - 2320.40]  Make two playlists.
[2320.40 - 2322.40]  The first playlist is excavation of...
[2322.40 - 2324.40]  There's no music without memory.
[2324.40 - 2326.40]  What's the first musical memory you have?
[2326.40 - 2329.40]  What did you grandparents, your parents, in the car?
[2329.40 - 2330.40]  Why are the big steps?
[2330.40 - 2334.40]  And it's not necessarily the music that you love, but it's the music that marked the steps,
[2334.40 - 2335.40]  the stations of your life.
[2335.40 - 2336.40]  Even for memory.
[2336.40 - 2337.40]  For me, like zero.
[2337.40 - 2338.40]  I'm not sure.
[2338.40 - 2339.40]  I'm not sure.
[2339.40 - 2340.40]  I'm not sure.
[2340.40 - 2341.40]  I'm not sure.
[2341.40 - 2342.40]  I'm not sure.
[2342.40 - 2343.40]  Even for memory.
[2343.40 - 2344.40]  For me, like zero.
[2344.40 - 2345.40]  Zero library.
[2345.40 - 2347.40]  You private library.
[2347.40 - 2351.40]  We need to test the subway because that's incredible richness here.
[2351.40 - 2354.40]  It's this part of wiring your brain for music.
[2354.40 - 2357.40]  It's to remember all the music you've heard.
[2357.40 - 2358.40]  Right?
[2358.40 - 2360.40]  That's the list number one.
[2360.40 - 2361.40]  Yeah.
[2361.40 - 2362.40]  That's the past.
[2362.40 - 2363.40]  What got you here?
[2363.40 - 2365.40]  And you got your own unique profile.
[2365.40 - 2368.40]  I'm very interested in what it is next to you, unique.
[2368.40 - 2371.40]  Because the Joshua library isn't unlike any other.
[2371.40 - 2372.40]  That's very cool.
[2372.40 - 2374.40]  So it's a source of incredible reference.
[2374.40 - 2375.40]  Right?
[2375.40 - 2376.40]  And I'm going to learn some stuff.
[2376.40 - 2377.40]  So I'm very excited about learning.
[2377.40 - 2378.40]  I'm very curious about you.
[2378.40 - 2382.40]  You're curious about human nature in general, but especially through that medium.
[2382.40 - 2384.40]  And the second list is the future.
[2384.40 - 2390.40]  From here now to your last breath, what is the music you want to learn?
[2390.40 - 2393.40]  Why do you want to express in your wildest dream?
[2393.40 - 2394.40]  Okay.
[2394.40 - 2395.40]  You know, it was this journey, black Sabbath.
[2395.40 - 2396.40]  I don't care.
[2396.40 - 2399.40]  It's like, you know, probably what are the songs.
[2399.40 - 2401.40]  I have like this amazing profile.
[2401.40 - 2402.40]  I have your past, your future.
[2402.40 - 2404.40]  And I'm dealing with you here now.
[2404.40 - 2407.40]  In the present with the past and the future as meaning making.
[2407.40 - 2408.40]  And that can.
[2408.40 - 2410.40]  And maybe those studios cross refer.
[2410.40 - 2411.40]  Right?
[2411.40 - 2412.40]  Definitely.
[2412.40 - 2413.40]  Right?
[2413.40 - 2414.40]  And maybe not.
[2414.40 - 2418.40]  But as a teacher and a coach, I have an unbelievable.
[2418.40 - 2420.40]  A bucket of references.
[2420.40 - 2421.40]  Right.
[2421.40 - 2423.40]  That can tailor custom.
[2423.40 - 2425.40]  Exercises just for you.
[2425.40 - 2426.40]  Right.
[2426.40 - 2428.40]  That I don't know where AI is.
[2428.40 - 2430.40]  This is what makes me irreplaceable.
[2430.40 - 2434.40]  And that's one of the things I wanted to build in and share with you.
[2434.40 - 2439.40]  What we can use AI for is automation.
[2439.40 - 2441.40]  And what we can't use AI for.
[2441.40 - 2446.40]  I mean, you can use it for brainstorming and stuff, but you can't use it for an honest critique.
[2446.40 - 2447.40]  You just can't.
[2447.40 - 2449.40]  It's an algorithm.
[2449.40 - 2451.40]  And if you tell it to do something, it does it.
[2451.40 - 2452.40]  Right.
[2452.40 - 2454.40]  So it could make cross references.
[2454.40 - 2460.40]  So for example, okay, today we're going to work on the perfect fifth and the flat five.
[2460.40 - 2468.40]  So maybe AI could dig into the past 30 years, 40 years and dig into the future list and create.
[2468.40 - 2469.40]  That's.
[2469.40 - 2470.40]  So one of the.
[2470.40 - 2471.40]  That would be a great assistant.
[2471.40 - 2478.40]  One of the ways I'm using AI because I already fine tuned an AI on your information.
[2478.40 - 2481.40]  Can you go get a snack from the stroller?
[2481.40 - 2482.40]  Yeah.
[2482.40 - 2483.40]  Okay.
[2483.40 - 2484.40]  So we got to do somebody.
[2484.40 - 2486.40]  Super like only to the stroller and back.
[2486.40 - 2489.40]  So polite for a good boy.
[2489.40 - 2490.40]  What's that?
[2490.40 - 2491.40]  What a good boy.
[2491.40 - 2492.40]  He is.
[2492.40 - 2494.40]  And he's very good at listening.
[2494.40 - 2495.40]  Yeah.
[2495.40 - 2502.40]  Time when I tell him to do things when he knows what his boundaries are just like everybody.
[2502.40 - 2505.40]  Now I lost track of what I was saying.
[2505.40 - 2506.40]  Okay, I've already made your.
[2506.40 - 2512.40]  You see that AI is way good and and it's audio trained so it can talk like in conversation.
[2512.40 - 2520.78]  station in a way that also trains the year. So there's ways that we can use AI to gamify,
[2520.78 - 2527.88]  like you said. But then the real, the real both money maker and genuinely most beneficial
[2527.88 - 2534.96]  thing for the student would be an async video where we structure out a 15 minute video where
[2534.96 - 2540.92]  they follow instructions, play this, do this, do this, and they're videotaping themselves
[2540.92 - 2549.20]  while being instructed on what to do, standardized, and then they send you that video and $45.
[2549.20 - 2553.88]  You watch that video, you critique it, you send it back. The reason why this is not being
[2553.88 - 2559.84]  done but is a great idea is just because technology is emerging. And what we can do with that
[2559.84 - 2565.08]  is allow it to add to markets that aren't touched yet. So like introverts, people with
[2565.08 - 2570.88]  social anxiety, people with heavy disabilities that might need custom training methods, you
[2570.88 - 2576.96]  can design all that for them and then have a bi-weekly or bi-monthly setup where they
[2576.96 - 2582.36]  automatically send you videos at their convenience and you send it back within 24 hours.
[2582.36 - 2587.72]  And that's only that with specific sets of exercise and advice. A genuine reflection and advice.
[2587.72 - 2593.52]  Yeah, right. So that's one of the things that I have built in along with a computer dashboard.
[2593.52 - 2597.92]  I don't know what kind of computer you have, but I can set it up. A Mac?
[2597.92 - 2602.36]  I have a laptop and a Mac. I like it.
[2602.36 - 2608.72]  Okay, perfect. I can set it up for that. And so you would download like a desktop app and
[2608.72 - 2615.00]  that would be your dashboard like Zoom. You would just have a free, no subscriptions way
[2615.00 - 2619.20]  to do videos with your students and video editing and all that.
[2619.20 - 2620.56]  Wow, yeah.
[2620.56 - 2627.64]  So, and I would set it up because there's so much content on the website right now. What
[2627.64 - 2632.60]  the students really need to navigate all that is like a basic guide and instructor
[2632.60 - 2642.28]  of the funnel and the AI coach. And so once I connect that AI in and set up the instruction
[2642.28 - 2650.20]  system, people will then be pipelineed into if you want a genuine antique from a person.
[2650.20 - 2656.36]  If you want to know how you're actually doing, record this and send it here and it'll cost
[2656.36 - 2661.32]  this. So it's just a way to free up your income, allow you to have, you know, you have
[2661.32 - 2665.48]  like maybe two hours of work a day and you can do it at whatever part of the day you
[2665.48 - 2671.04]  want because it's video and not in, you know, in sync, it's async. I'm going to check on
[2671.04 - 2672.04]  Ted.
[2672.04 - 2673.36]  Oh, that's what it meant. Okay.
[2673.36 - 2681.64]  Async, right. Hey, Teddy. You got something? Okay, come back in. You want to grab a toy?
[2681.64 - 2684.80]  He's digging through the snacks. He's exactly where he's supposed to be.
[2684.80 - 2688.96]  Great. He's just taking forever to make a decision, which is cool. He's fine. I like
[2688.96 - 2694.28]  that critical thinking. Yeah. You went with normal crackers. Okay. Okay. You want me to
[2694.28 - 2701.72]  open that for you, buddy? You want some help? Okay. Strong hands. Yeah, he's a pretty powerful
[2701.72 - 2707.72]  boy. All right. How about you coming up here with us? Hey, bud. Well, that's the part I've
[2707.72 - 2713.24]  just completely blown away by this. I mean, it's like, it's, it's, and the timing of this
[2713.24 - 2718.96]  is just amazing. I think it's all serendipity. Right. Yeah. Of course. I think it's very
[2718.96 - 2723.60]  beautiful when life happens. I just, I just signed up a three weeks ago. I just signed
[2723.60 - 2731.24]  up for ADHD program. That was, that was designed by a guy from MIT. I paid $19. Yeah. And it's
[2731.24 - 2735.04]  basically control the environment, you know, work your phone and I'm completely, I'm a
[2735.04 - 2740.04]  complete mess. Yeah. I have like five different minds and they're all creative. Yeah. So it's
[2740.04 - 2744.92]  like, so I'm, that's actually where I'm at. It's like a streamline and tunnel myself.
[2744.92 - 2750.08]  Yes. Yes. So it's completely, though, that is really
[2750.08 - 2755.24]  yourself some time to go through those slides. I will. If you can, if you can't, that's okay.
[2755.24 - 2761.64]  I, I'm going to have my kids go through it some once I finish it out. And kids. Yeah,
[2761.64 - 2768.88]  as a practice, like, learning about the guitar. Wow. And then I've sent it to a few other
[2768.88 - 2776.12]  students of mine that are innovative with technology to make sure that I'm using AI
[2776.12 - 2779.76]  as best as I can. Wow. That's incredible. What a blessing.
[2779.76 - 2785.76]  Yeah. Yeah. No problem. I mean, and I have Android studio. So I can turn this into an
[2785.76 - 2790.92]  Android app where, you know, anyone with an Android just clicks on the button and downloads
[2790.92 - 2795.00]  it. And I'm pretty sure I can do the same with Apple. I just haven't tried with Apple.
[2795.00 - 2802.36]  Right. Right. Yeah. That's incredible. It's fun. It's fun to live in the moment and to
[2802.36 - 2808.04]  be present and also to be in a flow state, ride the waves, like where is our culture and
[2808.04 - 2815.00]  our technology or our meaning making, whatever it is, where are we going and why? It's fascinating.
[2815.00 - 2824.00]  Yeah. Yeah. Wow. You know, I've been also thinking, because I'm, so there's a big space over there.
[2824.00 - 2828.40]  There's a vocal booth. It's going to be a recording facility, although it's not cold,
[2828.40 - 2833.44]  but it's going to be a nice recording facility there. And I'm trying this because it's pretty
[2833.44 - 2838.32]  big house. I'm tying with the idea of having a, you know, four or five students one week
[2838.32 - 2844.24]  immersion here. So doing meditation, Qigong and Omik, like, this approach, you've been talking
[2844.24 - 2848.20]  about this for years now. When is it going to happen? He's like, well, you could say that
[2848.36 - 2855.16]  it has like a celebrity trip and you could rent. What are their names? I ran Randy have like an
[2855.16 - 2863.08]  Airbnb, very beautiful space. I really set up like a $10,000 one week, a drop of GANSA for real,
[2863.08 - 2868.68]  like professional musicians. Yeah. You know, people that could afford that. Because if you can get
[2868.68 - 2875.24]  away to a small, quiet town where no one knows who you are, you know, that might be super beneficial.
[2875.32 - 2880.20]  Yeah, the crew, I generally talk to them, you know, we do, we do, we could be able to do lunch
[2880.20 - 2886.68]  every day for like a whole week for like a bunch of guitar players. Yeah. Yeah. The county co-op,
[2886.68 - 2894.12]  probably. Yeah. Yeah. Yeah. But just as I didn't know, I ran, Randy had a, oh, it's a, they have a
[2894.12 - 2900.12]  beautiful spot right in the middle of downtown street. So it's right across near county co-op.
[2901.00 - 2907.56]  Are you talking about the pharmacy? No, not the Sano. The living room. It was where hippie chick was.
[2908.76 - 2915.32]  Hippie chick? Oh, I see. That's that building. It's not building whole floors. There's all floors.
[2917.96 - 2923.16]  They're interesting. Yeah. I like them. That's pretty loud. I assume so. Where did Teddy go?
[2923.16 - 2933.56]  I didn't like himself. Teddy the explorer. Hey, Teddy. Oh, it's the door. That
[2934.28 - 2937.32]  do you leave? Oh, he's over there. Teddy, where'd you go?
[2940.04 - 2945.56]  Where are you? Come here. Hi, Teddy. Where is Teddy? Are you going to the bathroom?
[2946.92 - 2953.00]  Where is Teddy? Oh, he's washing his hands. He's washing his hands? Yes. Sorry. Very good.
[2953.32 - 2956.84]  Very good. Did you pee? Yeah. Good.
[2966.20 - 2968.20]  Bodee.
[2968.20 - 2974.52]  Hey.
[2978.36 - 2980.84]  Okay. You got about two pounds of trail mix on your yard.
[2982.36 - 2988.60]  But Chipmunks come so happy. If that's okay to leave out. Absolutely. I'm going to pick it up.
[2989.56 - 2993.64]  That's great. Thank you. Thank you for feeding the Chipmunks.
[2998.12 - 3001.88]  Oh, wow. That's a big old bumblebee. Look at that.
[3005.00 - 3010.76]  It's a big, it's a big busy bee. There's lots. He's trying to go out. You need to go outside.
[3011.48 - 3018.04]  He needs to go outside. All right. Yeah, he found us. You'll go outside. Thank you.
[3018.68 - 3026.60]  He's going out to make honey. Oh, yeah. He's working hard. Okay. I love those bumblebees.
[3026.60 - 3034.36]  So only pet bumblebees. Bumblebees are great. Yeah. You can pet them because they're busy.
[3034.36 - 3038.12]  They don't care. Bumblebees. Bumblebees. Bumblebees.
[3041.32 - 3045.64]  So your homework is to try to dig through the website if you have time.
[3046.84 - 3051.56]  Just give me impressions and permission. If it looks good and you're happy with it,
[3051.56 - 3056.84]  that's all I need. That's great. Yeah. I'm going to teach you some strawberry yogurt.
[3056.84 - 3060.44]  It's not too much of a meat. Oh, yeah. That'd be great. And it's 40% fruit.
